Date (GMT)	Yield (megatons)	Country
October 30, 1961	50.0	Soviet Union
December 24, 1962	24.2	Soviet Union
August 5, 1962	21.1	Soviet Union
September 27, 1962	20.0	Soviet Union
September 25, 1962	19.1	Soviet Union
March 1, 1954	15.0	USA
May 5, 1954	13.5	USA
October 23, 1961	12.5	Soviet Union
March 26, 1954	11.0	USA
October 31, 1952	10.4	USA
August 25, 1962	10.0	Soviet Union
September 19, 1962	10.0	Soviet Union
July 11, 1958	9.3	USA
June 28, 1958	8.9	USA
October 30, 1962	8.3	USA
October 22, 1962	8.2	Soviet Union
June 27, 1962	7.7	USA
April 25, 1954	6.9	USA
July 20, 1956	5.0	USA
October 31, 1961	5.0	Soviet Union
November 6, 1971	4.8	USA
July 10, 1956	4.5	USA
August 27, 1962	4.2	Soviet Union
October 6, 1961	4.0	Soviet Union
October 27, 1973	4.0	Soviet Union
November 17, 1976	4.0	China
July 11, 1962	3.9	USA
May 20, 1956	3.8	USA
August 1, 1958	3.8	USA
August 12, 1958	3.8	USA
September 12, 1973	3.8	Soviet Union
May 27, 1956	3.5	USA
October 14, 1970	3.4	China
September 16, 1962	3.3	Soviet Union
June 17, 1967	3.3	China
September 15, 1962	3.1	Soviet Union
December 25, 1962	3.1	Soviet Union
April 28, 1958	3.0	UK
October 4, 1961	3.0	Soviet Union
June 10, 1962	3.0	USA
December 27, 1968	3.0	China
September 29, 1969	3.0	China
June 27, 1973	3.0	China
October 6, 1957	2.9	Soviet Union
October 18, 1958	2.9	Soviet Union
October 22, 1958	2.8	Soviet Union
August 20, 1962	2.8	Soviet Union
September 10, 1961	2.7	Soviet Union
August 24, 1968	2.6	France
September 27, 1971	2.5	Soviet Union
September 21, 1962	2.4	Soviet Union
November 2, 1974	2.3	Soviet Union
October 14, 1970	2.2	Soviet Union
July 26, 1958	2.0	USA
July 8, 1956	1.9	USA
September 8, 1962	1.9	Soviet Union
March 26, 1970	1.9	USA
November 8, 1957	1.8	UK
May 13, 1954	1.7	USA
November 22, 1955	1.6	Soviet Union
September 24, 1957	1.6	Soviet Union
August 22, 1962	1.6	Soviet Union
October 18, 1962	1.6	USA
February 27, 1958	1.5	Soviet Union
June 14, 1958	1.5	USA
October 12, 1958	1.5	Soviet Union
October 15, 1958	1.5	Soviet Union
September 20, 1961	1.5	Soviet Union
October 20, 1961	1.5	Soviet Union
November 4, 1961	1.5	Soviet Union
May 11, 1958	1.4	USA
May 12, 1958	1.4	USA
July 9, 1962	1.4	USA
September 18, 1962	1.4	Soviet Union
