price,href,title
£51.77,a-light-in-the-attic_1000/index.html,A Light in the Attic
£53.74,tipping-the-velvet_999/index.html,Tipping the Velvet
£50.10,soumission_998/index.html,Soumission
£47.82,sharp-objects_997/index.html,Sharp Objects
£54.23,sapiens-a-brief-history-of-humankind_996/index.html,Sapiens: A Brief History of Humankind
£22.65,the-requiem-red_995/index.html,The Requiem Red
£33.34,the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,The Dirty Little Secrets of Getting Your Dream Job
£17.93,the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull"
£22.60,the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics
£52.15,the-black-maria_991/index.html,The Black Maria
£13.99,starving-hearts-triangular-trade-trilogy-1_990/index.html,"Starving Hearts (Triangular Trade Trilogy, #1)"
£20.66,shakespeares-sonnets_989/index.html,Shakespeare's Sonnets
£17.46,set-me-free_988/index.html,Set Me Free
£52.29,scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)
£35.02,rip-it-up-and-start-again_986/index.html,Rip it Up and Start Again
£57.25,our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991"
£23.88,olio_984/index.html,Olio
£37.59,mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,Mesaerion: The Best Science Fiction Stories 1800-1849
£51.33,libertarianism-for-beginners_982/index.html,Libertarianism for Beginners
£45.17,its-only-the-himalayas_981/index.html,It's Only the Himalayas
£12.84,in-her-wake_980/index.html,In Her Wake
£37.32,how-music-works_979/index.html,How Music Works
£30.52,foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More"
£25.27,chase-me-paris-nights-2_977/index.html,Chase Me (Paris Nights #2)
£34.53,black-dust_976/index.html,Black Dust
£54.64,birdsong-a-story-in-pictures_975/index.html,Birdsong: A Story in Pictures
£22.50,americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana
£53.13,aladdin-and-his-wonderful-lamp_973/index.html,Aladdin and His Wonderful Lamp
£40.30,worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,Worlds Elsewhere: Journeys Around Shakespeare’s Globe
£44.18,wall-and-piece_971/index.html,Wall and Piece
£17.66,the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,The Four Agreements: A Practical Guide to Personal Freedom
£31.05,the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate
£23.82,the-elephant-tree_968/index.html,The Elephant Tree
£36.89,the-bear-and-the-piano_967/index.html,The Bear and the Piano
£15.94,sophies-world_966/index.html,Sophie's World
£33.29,penny-maybe_965/index.html,Penny Maybe
£18.02,maude-1883-1993she-grew-up-with-the-country_964/index.html,Maude (1883-1993):She Grew Up with the country
£19.63,in-a-dark-dark-wood_963/index.html,"In a Dark, Dark Wood"
£52.22,behind-closed-doors_962/index.html,Behind Closed Doors
£33.63,you-cant-bury-them-all-poems_961/index.html,You can't bury them all: Poems
£57.31,slow-states-of-collapse-poems_960/index.html,Slow States of Collapse: Poems
£26.41,reasons-to-stay-alive_959/index.html,Reasons to Stay Alive
£47.61,private-paris-private-10_958/index.html,Private Paris (Private #10)
£23.11,higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.
£45.07,without-borders-wanderlove-1_956/index.html,Without Borders (Wanderlove #1)
£31.77,when-we-collided_955/index.html,When We Collided
