team_name,members
007,"['anastasia2202', 'VictoriaZhbeneva', 'pavlosmaroudas']"
"3,14 тонн","['naustimenko', 'avbodnarchuk', 'Kaaatyaaa']"
AAA_ParsingProject_202,"['arinapav', 'decidedlythefirst', 'auffwolk']"
aboba,['bozhenkaa']
Afremova_Zolotareva_Fischenko,"['ZolotarevaAlina', 'DaryaAfremova', 'viktoriyavf']"
Aksenov_Loginov_Zaharova,"['Dangerio', 'Yuliya-Zakharova', 'Your-Python-Frustrates-Me']"
Algasinov_Zaytsev_Vikulin,"['AleksandrAlgazinov', 'sisiupka', 'AlexandrZaytsev']"
balatista_inc,"['Artems95', 'Soph1sticated', 'adiya-aldungarova']"
Barbariki vs Smeshariki,"['kkkamila3', 'ksimonova293', 'KirNastya']"
Best girls,"['annapugacheva', 'Sofo4kaaa', 'SofyaSemenova']"
Bikbulatov_Orlov_Zubkov,"['bikbulatus', 'freezzzingmoon', 'ev1lm1nd']"
brotherhood,"['FarisDiveyev', 'mandzhukic']"
Bul'baZebra,"['AnastasiaGavrilova201', 'Mishapewpewpew', 'nadushonkin']"
Decepticons,"['bbkushnarev', 'ChulpanSakhapova', 'sapsssay']"
devachki_s_fena,"['vsarina', 'alexdeer12', 'p-krupa']"
disthon,"['abzal101', 'arsbarss', 'attentionk']"
DONT TREAD ON ME,"['uliyanasim', 'Varvara-Dontsul', 'wypsen']"
Dream team,"['Dzhangir', 'rsarsengaliev', 'allatsitsuashvili']"
FIG,"['msmayorova', 'cotopecs', 'pinterles']"
FUNRats,"['310-dap-econ', 'viglova', 'DmitryKozlovHSE']"
Fuz,['alexandradavydova']
Gafarov_Voronyuk_Bulgakova,"['elbulgakova', 'ElchinGafarov', 'VoronyukRV']"
Galishnikova_Semkina_Petrovnina_BEC202,"['assemkina', 'edgalishnikova', 'petrovaanina']"
girls band,"['anna1864', 'rusanko']"
Golden Trio,"['popovam224', 'SofiaZelnik', 'pandodooo']"
gsyakovlev_sarckisian_soboleva,"['soboleva-K', 'sarckisianlil', 'gsyakovlev']"
guys,['mikhail-prokhorov']
Hajime,"['Bulat131', 'rsnisanov', 'renush7']"
Hamlet-Syel-Erika,"['kotechka', 'dapecon2021247', 'Zachascucumber']"
Haruki Murakami,"['detrofimova', 'SemyonVassilyev', 'Gordonella']"
hey_there!,"['vesmaunfriendly', 'amikey277', 'ropolts']"
Jiznb_Bolb,['Chists']
KK3,['kok1020']
Kroliki,"['KasapenkoTatiana', 'ropolts', 'hse-teddy-bear']"
Kujinauwo,"['Vinley123', 'VLPolyanskiy', 'Mydrec121']"
Kupriyanova_Murodov_Gladkikh_bec2010,"['skyw0lker', 'vgladkikh28', 'dapecon41']"
Lamoda BOys,[]
